BTC-USD,time
6.54,15114
5.87,15115
6.36,15116
7.06,15117
7.08,15118
7.44,15119
8.48,15120
8.68,15121
8.44,15122
8.28,15123
8.57,15124
8.86,15125
9.06,15126
10.03,15127
12.77,15128
16.35,15129
17.40,15130
18.28,15131
19.19,15132
27.53,15133
29.64,15134
26.29,15135
19.82,15136
16.41,15137
20.87,15138
19.23,15139
19.68,15140
19.17,15141
15.77,15142
15.87,15143
17.59,15144
0.00,15145
0.00,15146
0.00,15147
0.00,15148
0.00,15149
0.00,15150
15.91,15151
16.95,15152
16.84,15153
16.88,15154
16.76,15155
16.09,15156
15.56,15157
15.47,15158
14.90,15159
13.25,15160
14.51,15161
15.15,15162
14.45,15163
14.34,15164
14.78,15165
14.50,15166
14.16,15167
14.03,15168
13.97,15169
13.96,15170
13.66,15171
13.34,15172
13.05,15173
13.81,15174
13.76,15175
13.63,15176
13.63,15177
13.64,15178
13.74,15179
14.12,15180
13.93,15181
13.95,15182
13.64,15183
13.52,15184
13.52,15185
13.37,15186
13.30,15187
12.67,15188
11.11,15189
10.56,15190
10.58,15191
8.79,15192
7.70,15193
7.81,15194
9.44,15195
10.05,15196
9.86,15197
9.34,15198
9.58,15199
10.46,15200
11.23,15201
11.07,15202
10.92,15203
10.91,15204
11.28,15205
11.48,15206
11.40,15207
11.15,15208
11.01,15209
10.95,15210
10.30,15211
9.09,15212
8.64,15213
8.82,15214
8.97,15215
8.80,15216
8.50,15217
8.23,15218
8.40,15219
8.53,15220
8.26,15221
7.76,15222
6.74,15223
7.00,15224
6.88,15225
5.52,15226
5.04,15227
5.42,15228
6.14,15229
5.90,15230
5.65,15231
5.18,15232
4.81,15233
4.83,15234
4.90,15235
5.18,15236
5.92,15237
5.75,15238
5.52,15239
5.54,15240
5.49,15241
5.41,15242
5.09,15243
4.91,15244
4.82,15245
4.75,15246
4.98,15247
5.03,15248
5.00,15249
4.96,15250
4.96,15251
4.91,15252
4.74,15253
4.53,15254
4.07,15255
4.15,15256
4.11,15257
3.98,15258
4.01,15259
4.09,15260
4.02,15261
3.91,15262
3.76,15263
2.94,15264
2.62,15265
2.31,15266
2.31,15267
2.54,15268
2.93,15269
3.11,15270
2.89,15271
2.73,15272
2.75,15273
2.88,15274
3.11,15275
3.53,15276
3.46,15277
3.19,15278
3.21,15279
3.22,15280
3.21,15281
3.16,15282
3.04,15283
2.96,15284
2.99,15285
3.07,15286
3.00,15287
2.89,15288
2.92,15289
3.05,15290
3.00,15291
2.50,15292
2.30,15293
2.43,15294
2.29,15295
2.22,15296
2.18,15297
2.28,15298
2.23,15299
2.30,15300
2.33,15301
2.37,15302
2.45,15303
2.48,15304
2.45,15305
2.51,15306
2.79,15307
2.85,15308
3.05,15309
3.09,15310
3.00,15311
2.75,15312
2.87,15313
2.98,15314
2.99,15315
2.96,15316
2.98,15317
2.99,15318
3.21,15319
3.21,15320
3.21,15321
3.16,15322
3.16,15323
3.18,15324
3.19,15325
3.19,15326
3.37,15327
3.96,15328
3.94,15329
3.87,15330
3.91,15331
3.92,15332
4.12,15333
4.04,15334
4.01,15335
4.13,15336
4.21,15337
4.19,15338
4.47,15339
4.94,15340
5.29,15341
5.01,15342
5.13,15343
6.17,15344
6.80,15345
6.69,15346
7.02,15347
6.67,15348
6.38,15349
6.77,15350
6.78,15351
6.62,15352
6.52,15353
6.86,15354
6.90,15355
6.61,15356
5.88,15357
6.16,15358
6.43,15359
6.34,15360
6.23,15361
6.30,15362
6.31,15363
6.09,15364
5.64,15365
5.30,15366
5.51,15367
5.52,15368
5.50,15369
5.51,15370
5.63,15371
6.02,15372
5.95,15373
5.91,15374
5.71,15375
5.60,15376
5.58,15377
5.66,15378
5.71,15379
5.87,15380
5.84,15381
5.65,15382
5.38,15383
4.78,15384
4.62,15385
4.23,15386
4.44,15387
4.31,15388
4.31,15389
4.36,15390
4.34,15391
4.45,15392
4.78,15393
4.97,15394
4.92,15395
4.90,15396
4.96,15397
4.91,15398
4.86,15399
4.93,15400
4.72,15401
4.68,15402
4.71,15403
4.91,15404
4.96,15405
4.95,15406
4.88,15407
4.89,15408
4.84,15409
4.88,15410
4.90,15411
5.05,15412
5.36,15413
5.35,15414
5.34,15415
5.34,15416
5.26,15417
5.10,15418
4.79,15419
4.82,15420
4.80,15421
4.70,15422
4.67,15423
4.59,15424
4.64,15425
4.69,15426
4.79,15427
4.77,15428
4.79,15429
4.87,15430
4.82,15431
4.89,15432
4.93,15433
4.94,15434
4.91,15435
4.94,15436
4.82,15437
4.74,15438
4.78,15439
4.83,15440
4.87,15441
4.89,15442
4.89,15443
4.96,15444
4.92,15445
4.94,15446
4.96,15447
5.10,15448
5.15,15449
5.19,15450
5.29,15451
5.19,15452
5.16,15453
5.07,15454
5.11,15455
5.09,15456
5.09,15457
4.99,15458
4.94,15459
4.94,15460
4.96,15461
5.09,15462
5.09,15463
5.11,15464
5.07,15465
5.05,15466
5.05,15467
5.03,15468
5.05,15469
5.02,15470
4.93,15471
4.95,15472
4.96,15473
4.97,15474
5.00,15475
5.06,15476
5.08,15477
5.09,15478
5.11,15479
