Date,Symbol,Open,High,Low,Close,Volume From,Volume To,,,,
0,ETHBTC,0.02392,0.0252,0.02206,0.02374,27518.17,643.39,,,,
0.0002,ETHBTC,0.02374,0.02506,0.02074,0.0225,52317.09,1179.14,,,,
0.0004,ETHBTC,0.0225,0.02399,0.02174,0.02341,17565.17,408.35,,,0.1502,
0.0006,ETHBTC,0.02341,0.02428,0.02219,0.02377,8722.17,205.4,,,0.00773,
0.0008,ETHBTC,0.02377,0.02746,0.0234,0.02643,36866.56,950.63,,,,0.000197875
0.001,ETHBTC,0.02643,0.02735,0.0252,0.02579,14078.79,370.68,,,,
0.0012,ETHBTC,0.02579,0.02639,0.02529,0.02581,9804.98,253.68,,,,
0.0014,ETHBTC,0.02581,0.02618,0.02327,0.02437,29151.43,713.17,,,,
0.0016,ETHBTC,0.02437,0.02477,0.02293,0.02407,9802.35,233.37,,,,
0.0018,ETHBTC,0.02407,0.02465,0.02342,0.02423,6981.66,168.04,,,,
0.002,ETHBTC,0.02423,0.02453,0.0236,0.02395,6590.19,157.64,,,,
0.0022,ETHBTC,0.02395,0.02538,0.02342,0.02517,20778.99,504.24,,,,
0.0024,ETHBTC,0.02517,0.02577,0.0248,0.02507,25773.9,653.08,,,,
0.0026,ETHBTC,0.02507,0.0254,0.02471,0.0251,6542.22,163.9,,,,
0.0028,ETHBTC,0.0251,0.02524,0.02391,0.02434,10034.92,245.9,,,,
0.003,ETHBTC,0.02434,0.02434,0.0235,0.02356,6625.82,158.12,,,,
0.0032,ETHBTC,0.02356,0.02397,0.02211,0.02364,44369.28,1026.87,,,,
0.0034,ETHBTC,0.02364,0.02526,0.02318,0.02523,22411.69,545.04,,,,
0.0036,ETHBTC,0.02523,0.0279,0.025,0.02764,28443.63,760.63,,,,
0.0038,ETHBTC,0.02764,0.02785,0.0262,0.02675,18122.79,490.77,,,,
0.004,ETHBTC,0.02675,0.02739,0.02555,0.02698,29941.67,794.22,,,,
0.0042,ETHBTC,0.02698,0.02826,0.01713,0.02108,142517.78,3077.28,,,,
0.0044,ETHBTC,0.02108,0.02148,0.01301,0.015,130559.28,2098.61,,,,
0.0046,ETHBTC,0.015,0.01842,0.01409,0.01626,78372.28,1277.13,,,,
0.0048,ETHBTC,0.01626,0.0166,0.01375,0.01603,56313.53,863.24,,,,
0.005,ETHBTC,0.01603,0.0195,0.016,0.01906,80226.82,1438.14,,,,
0.0052,ETHBTC,0.01906,0.0248,0.01906,0.02231,90554.92,1967.61,,,,
0.0054,ETHBTC,0.02231,0.02412,0.021,0.02187,22672.29,505.7,,,,
0.0056,ETHBTC,0.02187,0.02195,0.01973,0.02162,34278.02,716.62,,,,
0.0058,ETHBTC,0.02162,0.02189,0.02071,0.02102,8607.07,183.09,,,,
0.006,ETHBTC,0.02102,0.02265,0.02102,0.02188,11639.73,254.19,,,,
0.0062,ETHBTC,0.02188,0.02224,0.02124,0.02151,6863.52,149.15,,,,
0.0064,ETHBTC,0.02151,0.02151,0.01779,0.01862,55857,1073.99,,,,
0.0066,ETHBTC,0.01862,0.02048,0.01796,0.0201,29039.12,558.7,,,,
0.0068,ETHBTC,0.0201,0.0201,0.01851,0.01864,17840.11,338.43,,,,
0.007,ETHBTC,0.01864,0.01864,0.01721,0.01814,16341.24,293.2,,,,
0.0072,ETHBTC,0.01814,0.01822,0.01701,0.01725,17149.75,298.04,,,,
0.0074,ETHBTC,0.01725,0.01806,0.01706,0.01783,10250.51,180.3,,,,
0.0076,ETHBTC,0.01783,0.01791,0.01683,0.01684,6806.23,116.77,,,,
0.0078,ETHBTC,0.01684,0.01734,0.01422,0.0157,55824.72,847.67,,,,
0.008,ETHBTC,0.0157,0.0166,0.01517,0.01549,12550.18,198.73,,,,
0.0082,ETHBTC,0.01549,0.01621,0.01498,0.01591,22239.6,348.5,,,,
0.0084,ETHBTC,0.01591,0.01748,0.01561,0.01695,31247.51,515.02,,,,
0.0086,ETHBTC,0.01695,0.01734,0.01638,0.01689,10896.55,184.88,,,,
0.0088,ETHBTC,0.01689,0.01754,0.01658,0.01684,9246.17,156.33,,,,
